course,code,description
SystËmes de tÈlÈcommunications,EE-342,Learning basic knowledge on transmission of information and identify the relevant criteria for the dimensioning of a telecommunication system.  Evaluate the quality of digital transmission systems (error probability) either in baseband or shifted passband.
SystËmes de transports,CIVIL-453,Aimed to help students to: A) Deepen and enlarge the knowledge on transport systems planning and operations; B) Master main aspects of different public transport systems.
SystËmes dynamiques,ME-221,Introduction to the mathematical modeling of dynamical systems. The student learns how to linearize a nonlinear model and use the Laplace transformation for analysis purposes. He is also familiar with the representation and analysis of dynamical systems in both the time and frequency domains. 
"SystËmes Èducatifs, organisations, acteurs, savoirs",HEP-406,
SystËmes Èlectriques et Èlectroniques I,EE-295,The course has the aim to provide the fundamental knowledge and experiences to understand basic electrical systems. 
SystËmes Èlectriques et Èlectroniques II,EE-296,"The basic concepts enabling to understand and analysis the electronic systems dedicated to signals acquisition and processing (e.g. biosensors, physiological signals, ECG) are addressed. This includes the acquisition, amplification and filtering."
SystËmes embarquÈs microprogrammÈs,EE-310,"The student will get to know the architecture of microprogrammed embedded systems, including the microprocessor architecture, memory hierarchy and different input/output peripherals, using as case study the Nintendo DS portable platform."
SystËmes logiques,CS-171,In this course the students learn how to analyze and design digital systems. Starting from boolean algebra and simple combinational circuits the students are guided towards semi-complex sequential circuits consisting of several finite state machines that interact with each other.
SystËmes logiques,CS-172,In this course the students learn how to analyze and design digital systems. Starting from boolean algebra and simple combinational circuits the students are guided towards semi-complex sequential circuits consisting of several finite state machines that interact with each other.
SystËmes mÈcaniques,ME-202,"This course teaches the understanding of complex mechanical systems and introduces the basics for understanding and designing. The student will be able to explain the operation of complex systems, model their kinematics and choose solutions for designing a function out of a set of specifications. "
SystËmes mÈcatroniques,ME-424,"Mechatronics, System dynamics, System control, Electronics, Real time computing."
SystËmes multivariables,ME-324,"The first part of the course covers system analysis in a state space framework. The state regulator synthesis is then solved through eigenvalue placement. Finally, the linear quadratic regulator problem is discussed as well as state observers."
SystËmes vibratoires,MICRO-300,Please refer to the French version
System Identification,ME-421,Some methods are studied for identification of discrete-time linear models using experimental data. The correlation method and spectral analysis are used to identify nonparametric models and the prediction error method to estimate the plant and noise model parameters. Hands-on labs are included. 
Systems and architectures for signal processing,EE-555,"Study of the essential components and implementation technologies of digital signal processing and communication systems from the theoretical, algorithmic and system implementation point of view."
Systems engineering,MICRO-405,"This course presents an introduction to systems engineering (an interdisciplinary approach to enable the realization of successful systems that integrate a set of elements that accomplish an objective that could not be reached by the individual part), by studying some specific industrial systems."
TCP/IP networking,COM-407,In the lectures you will learn and understand the main ideas that underlie and the way networks are built and run. You will be able to apply the concepts to the smart grid. In the labs you will exercise practical configurations.
Techniques d'assemblage,MICRO-440,Annual course for building up knowledge in assembly techniques for microengineering products and in design of assembly lines.
Techniques de mesure,ME-301,Theoretical and practical course on the use of different experimental techniques related to mechanical engineering.
Technologie des microstructures I,MICRO-331,"The student will learn procedures and applications of modern microfabrication technologies, as practiced in a standardclean room, with focus on silicon mainstream and microsystems technologies."
Technologie et mise en oeuvre des polymËres + TP,MSE-360,"Introduction to the principles of engineering polymers and their manufacturing techniques, providing the basis for the rational selection of plastic materials and processing methods for a given application."
Technologie et pratique des matÈriaux,MSE-103,The contribution of basic sciences to the materials technology is illustrated by many examples. The profession of engineer in materials is presented through real cases and practiced in a group project. Materials laboratory work is provided to assimilate the general concepts of the materials science.
Technologies de la connaissance,HUM-244,"This course is devoted to a long history of documentary regimes since the birth of printing up to digital system today. In particular how are produced, collected, stored, classified scientific data and how they are subject to forms of visualization. "
Technologies et entrepreneurship social,HUM-361,"Discuss the concept of social entrepreneur and the links between society and technology through case studies. Apply a social business model canvas to (1) identify a social issue and (2) find an adapted combinaison ""technology + business model"" that offers a sustainable solution to the problem. "
"Technologies, innovations et marchÈs Èmergents",HUM-366,The course aims to make students aware of the importance of emerging markets in the global innovation landscape. It offers a set of tools to model product/service innovations in the context of emerging markets.
Technology & innovation strategy,MGT-414,"Students will learn core concepts that can make innovation projects more successful and profitable, and to then apply those concepts to real business cases of known successes and failures with a focus on the economic and organizational conditions that advance technological innovation by firms."
Technology policy and the energy transition,MGT-408,"This course involves the theoretical and empirical analysis of technology Policy as applied to the issue of energy transition. To address this so-called ""Grand Challenge"", the combination of market-based instruments with technology policy seems to be of critical importance."
Technology ventures in IC,CS-410,This hands-on class gives graduate students in IC interested in startups the opportunity to learn and put in practice the fundamental skills required to assess a technology concept in the context of a business opportunity.  This class is focused only on business opportunities where high-technology
TÈlÈdÈtection,ENV-341,"This course aims at exposing the students to the main concepts, instruments and techniques of environmental remote sensing. The interactions between waves and matter, different types of sensors and image-processing techniques are presented."
Terra Epidermis,PENS-211,"This transversal project aims to test around a case study chosen , the specifics of "" reverse soil ."" On a site chosen , students will be invited to propose a single technical and architectural gesture , and synthesize their concept graphically."
Test of VLSI systems,EE-530,"Test of VLSI Systems covers theoretical knowledge related to the major algorithms used in VLSI test, and design for test techniques. Basic knowledge related to computer-aided design for test techniques, and their integration into a design-flow are presented."
Theoretical computer science,CS-352,"An in-depth introduction to some of the key ideas and tools of Theoretical Computer Science. Covered material touches upon: streaming algorithms, spectral graph theory, interactive and zero-knowledge proofs, pseudorandomness, algorithmic game theory, and quantum computing."
ThÈorie de Galois,MATH-317,"This cours is an introduction to Galois theory which focuses on the study of symmetries of the set of roots of polynomials. Galois theory is an essential topic for many areas of mathematics: number theory, algebraic geometry, topology..."
ThÈorie de l'architecture I,AR-121,"Provide the student with a broad vision of the basics of the architectural theorie. It means to understand separately the fundamental elements of architecture and to study their involvement in spatial conception, through the doctrines and the avant-gardes of the twentieth century."
ThÈorie de l'architecture II,AR-122,"Provide the student with a broad vision of the basics of the architectural theorie. It means to understand separately the fundamental elements of architecture and to study their involvement in spatial conception, through the doctrines and the avant-gardes of the twentieth century."
ThÈorie de l'architecture III,AR-221,"This course offers an overview of architectural theory since 1789. The aim is to interpret and criticize texts in which architecture is defined as a discipline synthesizing a variety of themes (social, artistic, political, existential and philosophical)."
ThÈorie de l'architecture IV,AR-222,"The course offers an overview of architectural theory since 1789. The aim is to interpret and criticize texts in which architecture is defined as a discipline synthesizing a variety of themes (social, artistic, political, existential and philosophical)."
ThÈorie de l'architecture V,AR-321,"The course offers an overview of architectural theory since 1789. The aim is to interpret and criticize texts in which architecture is defined as a discipline synthesizing a variety of themes (social, artistic, political, existential and philosophical)."
ThÈorie de l'architecture VI,AR-322,"The course offers an overview of architectural theory since 1789. The aim is to interpret and criticize texts in which architecture is defined as a discipline synthesizing a variety of themes (social, artistic, political, existential and philosophical)."
ThÈorie de l'architecture VII,AR-421,"The course deals with the complex relationship that contemporary architecture attempts to weave between art and nature : by placing it in a diachronic and historical perspective, and by using a critical reading of the writings and work of the architects who are registered in these artistic currents."
ThÈorie de l'espace,AR-461,This course is focused on the spatial dimension of social interactions and the particular spatiality of the Internet.
ThÈorie des groupes,MATH-211,"The aim of this course is to study in more detail the basic notions of algebra, in particular the notion of groups."
ThÈorie des rÈacteurs,ChE-303,"This course presents the fundamentals of Chemical Reaction Engineering allowing the proper choice, design and exploitation of an ideal chemical reactor. "
ThÈorie du calcul stochastique,MATH-431,"Introduction to the mathematical theory of stochastic calculus: construction of the ItÙ stochastic integral for a semimartingale, proof of ItÙ's formula, introduction to stochastic differential equations, to the Girsanov theorem and the Feynman-Kac formula."
ThÈorie et critique du projet BA1,AR-101,"The semester focuses on the tools and processes of architectural research and making through direct encounters with spatial problems. Through these encounters, students will approach space, site as a physical context where architecture can occur, and the relation of the two to their own body."
ThÈorie et critique du projet BA2,AR-102,"Semester 2 provides a laboratory condition in which students refine tools of architectural research and making with the aim of realizing an architectural project that deals with space, construction and program within an architectonic discourse. "
ThÈorie et critique du projet BA3 (Bakker & Blanc A.),AR-201(a),"MANSLAB will concentrate on the question of a programmatical and spatial assembling between different territories. This to provoke a densified physical and metaphysical manufacturing."
ThÈorie et critique du projet BA3 (De Vylder & Taillieu),AR-201(c),"A house is the simple topic of this studio. A matter of simple complexity. Defining a space by its ""corner""; looking for a ""cascade"" of rooms; arriving at the simple complexity of a ""house"". Learning about a house is learning about architecture. That house in two different contexts. A house twice."
ThÈorie et critique du projet BA3 (Lapierre),AR-201(n),"From the abstraction of the structures underlying form - lines, grids, spirals, etc. - to the production of a specific project by means of the typological filter of the Grand Durand : architecture as abstraction and as culture."
ThÈorie et critique du projet BA3 (Perrault),AR-201(k),"Students during their year in the SUB Lab discuss a topic little explored in architecture, the underground. Students will learn to design their project from soil, material, sculpting it to sublimate wealth."
ThÈorie et critique du projet BA3 (Rey),AR-201(g),By an approach situated at different intervention levels - from urban design to constructive detail - the studio aims to explore the strategies of sustainable architecture to redirect urban development inward and to generate urban densification close to public transport. 
ThÈorie et critique du projet BA4 (Bakker & Blanc A.),AR-202(a),"MANSLAB will concentrate on the question of a programmatical and spatial assembling between different territories. This to provoke a densified physical and metaphysical manufacturing."
ThÈorie et critique du projet BA4 (De Vylder & Taillieu),AR-202(c),"A house is the simple topic of this studio. A matter of simple complexity. Defining a space by its ""corner""; looking for a ""cascade"" of rooms; arriving at the simple complexity of a ""house"". Learning about a house is learning about architecture. That house in two different contexts. A house twice."
ThÈorie et critique du projet BA4 (Lapierre),AR-202(n),From the analogy of natural objects to the abstraction of a concrete project: architecture as metaphor and as a tool for apprehending the world.
ThÈorie et critique du projet BA4 (Perrault),AR-202(k),"Students during their year in the SUB Lab discuss a topic little explored in architecture, the underground. Students will learn to design their project from soil, material, sculpting it to sublimate wealth."
ThÈorie et critique du projet BA4 (Rey),AR-202(g),By an approach situated at different intervention levels - from urban design to constructive detail - the studio aims to explore the strategies of sustainable architecture to redirect urban development inward and to generate urban densification close to public transport. 
ThÈorie et critique du projet BA5 (Frˆhlich M. & A.),AR-301(d),"The atelier will examine the programmatic and spatial organization of the Bauakademie in Berlin. The analysis, the knowledge of adequate typologies and the comprehensive investigation of the former Schinkel-Building will help us to work with the building structure and its programmatic demands."
ThÈorie et critique du projet BA5 (Graf F.),AR-301(b),Work to be done on existing structures is a major stake in the development of the city of the 21st century. The protection project and the project to be pursued in existing structures are part of a composite cultural discipline that extends the borders of contemporary architecture.
ThÈorie et critique du projet BA5 (Ortelli L.),AR-301(c),"The studio addresses the topic of collective housing as a defining urban element. The aim is to design a residential complex with an event room, from the urban plan to the construction detail in the town of Edinburgh."
ThÈorie et critique du projet BA5 (ViganÚ),AR-301(a),"The design studio continues the exploration of the possibility to conceive the city, the territorial and urban space, as a renewable resource. The research concerns the tools, conceptual and operational, to design it coherently."
ThÈorie et critique du projet BA6 (Frˆhlich M. & A.),AR-302(d),"The atelier will examine the programmatic and spatial organization of the Bauakademie in Berlin. The analysis, the knowledge of adequate typologies and the comprehensive investigation of the former Schinkel-Building will help us to work with the building structure and its programmatic demands."
ThÈorie et critique du projet BA6 (Graf F.),AR-302(b),Work to be done on existing structures is a major stake in the development of the city of the 21st century. The protection project and the project to be pursued in existing structures are part of a composite cultural discipline that extends the borders of contemporary architecture.
ThÈorie et critique du projet BA6 (Ortelli L.),AR-302(c),"The studio addresses the topic of collective housing as a defining urban element. The aim is to design a residential complex with an event room, from the urban plan to the construction detail."
ThÈorie et critique du projet BA6 (ViganÚ),AR-302(a),"The design studio continues the exploration of the possibility to conceive the city, the territorial and urban space, as a renewable resource. The research concerns the tools, conceptual and operational, to design it coherently."
ThÈorie et critique du projet MA1 (Boltshauser),AR-401(v),"Over the course time, rammed earth as a building material has been increasingly superseded by industrially produced materials. During this semester, based on a specific design we will explore the as yet, untapped potential which rammed earth can develop within a hybrid construction."
ThÈorie et critique du projet MA1 (Escher et GuneWardena),AR-401(w),"Intervention to one of two iconic architectural heritage sites of American modernity, respecting its historical, spatial and physical components, and providing an adequate response to the economic, cultural and social issues."
ThÈorie et critique du projet MA1 (Geers),AR-401(c),"The Commons - part 1: Appia Novissima will tackle the urgent issue of rebuilding the shared infrastructure of the European territory, with the Roman periphery as its case-study."
ThÈorie et critique du projet MA1 (Graber et Pulver),AR-401(x),"In the space of the rail corridor leading to the main station of Zurich, we will project urban architectures. We will combine in hybrid structures, and will focus on the potential of concrete and it's constructive, structural and spatial properties."
ThÈorie et critique du projet MA1 (Gugger),AR-401(b),"laba's focal theme is Urban Nature. Due to the scale and character of today's territorial expansion, the definition of the urban becomes more diffuse and complex. laba's didactic method takes students through design scales ranging from the territorial to the architectural in a year long course."
ThÈorie et critique du projet MA1 (Huang),AR-401(y),"This studio explores meaningful form generating processes by the use of algorithmic and parametric tools and introduces the notion of growth typologies in architectural and urban design thinking. Our studio site will be in Singapore, our programme the procedural design of a vibrant innovation park."
ThÈorie et critique du projet MA1 (LamuniËre),AR-401(i),"New urban life styles, hypermobility, mixed use programs and densities, question complexity and scale in urban architecture. In very large cities of the XXIst century, hubs as city infrastructures are inductive of innovative projects at local and global scales. Study case 2016-17: Doors to Mahattan."
ThÈorie et critique du projet MA1 (L¸tjens et Padmanabhan),AR-401(z),"The studio explores the subject of urban housing with an emphasis on the relationship between urban space, facades and the inner spatial structure of the building and the apartment. "
ThÈorie et critique du projet MA1 (Weinand),AR-401(e),Sensitize students to understand and to dimension innovative existing constructions under consideration of architectural and structural aspects.Deepen the technical understanding of selected build masterpieces. Fabricate physical models representing structural fragments and structural details.
ThÈorie et critique du projet MA2 (Boltshauser),AR-402(v),"Over the course time, rammed earth as a building material has been increasingly superseded by industrially produced materials. During this semester, based on a specific design we will explore the as yet, untapped potential which rammed earth can develop within a hybrid construction."
ThÈorie et critique du projet MA2 (Escher et GuneWardena),AR-402(w),"Intervention to one of two iconic architectural heritage sites of American modernity, respecting its historical, spatial and physical components, and providing an adequate response to the economic, cultural and social issues."
ThÈorie et critique du projet MA2 (Geers),AR-402(c),"The Commons - part 2 will tackle the urgent issue of rebuilding the shared infrastructure of the European territory, with the periphery of Milan as its case-study."
ThÈorie et critique du projet MA2 (Graber et Pulver),AR-402(x),"In the space of the rail corridor leading to the main station of Zurich, we will project urban architectures. We will combine in hybrid structures, and will focus on the potential of concrete and it's constructive, structural and spatial properties."
ThÈorie et critique du projet MA2 (Gugger),AR-402(b),"laba's focal theme is Urban Nature. Due to the scale and character of today's territorial expansion, the definition of the urban becomes more diffuse and complex. laba's didactic method takes students through design scales ranging from the territorial to the architectural in a year long course."
ThÈorie et critique du projet MA2 (Huang),AR-402(y),"This studio explores meaningful form generating processes by the use of algorithmic and parametric tools and introduces the notion of growth typologies in architectural and urban design thinking. Our studio site will be in Singapore, our programme the procedural design of a vibrant innovation park."
ThÈorie et critique du projet MA2 (LamuniËre),AR-402(i),"New urban life styles, hypermobility, mixed use programs and densities, question complexity and scale in urban architecture. In very large cities of the XXIst century, hubs as city infrastructures are inductive of innovative projects at local and global scales. Study case 2016-17: New York."
ThÈorie et critique du projet MA2 (L¸tjens et Padmanabhan),AR-402(z),"The studio explores the subject of urban housing with an emphasis on the relationship between urban space, facades and the inner spatial structure of the building and the apartment. "
ThÈorie et critique du projet MA2 (Weinand),AR-402(e),Sensitize students to understand and to dimension innovative existing constructions under consideration of architectural and structural aspects.Deepen the technical understanding of selected build masterpieces. Fabricate physical models representing structural fragments and structural details.
ThÈories de l'urbanisme I,AR-261,"THU I deals with models, projects, tools and techniques of planning in the eighteenth century to the present day, by linking theoretical discourse and design, text and image project. The planning project is the testing ground of ideas and concepts in the form of spatial themes."
ThÈories de l'urbanisme II,AR-262,"THU II deals with models, projects, tools and techniques of planning in the eighteenth century to the present day, by linking theoretical discourse and design, text and image project. The planning project is the testing ground of ideas and concepts in the form of spatial themes."
ThÈories et techniques du projet de sauvegarde,AR-434,Construction within existing buildings is nothing new. What gives it contemporary relevance is the type of theoretical and practical questions we have to pose concerning the architectural object and the close-range examination of building fabric that is involved.
Theory of computation,CS-251,"This course constitutes an introduction to theory of computation. It discusses the basic theoretical models of computing (finite automata, Turing machine), as well as, provides a solid and mathematically precise understanding of their fundamental capabilities and limitations."
Theory of materials : from structures to properties ,MSE-300,"Macroscopic properties of solids are addressed using symmetry arguments, tensors, thermodynamics, and simple phenomenological models. "
Thermal power cycles and heat pump systems,ME-459,"This lecture aims at studying Energy (economics and environment: general knowledge), thermal power plant cycles and equipment, nuclear power plants and heat pumping technologies."
Thermodynamics and energetics I,ME-251,"The course introduces the basic concepts of thermodynamics and heat transfer, and thermodynamic properties of matter and their calculation. The students will master the concepts of heat, mass, and momentum conservation, and apply these concepts to thermodynamic cylces and energy conversion systems."
Thermodynamics for materials science,MSE-204,This lecture establishes the basic concepts of thermodynamics and defines the main state functions. The concepts are then applied to the study of phase transformations and to establish the phase diagram of mixtures.
Thermodynamics of energy conversion and storage,ChE-414,"The course is an introduction to the energy conversion. It focusseson the thermodynamics of the engines and systems for the conversion of energy from fossil fuels and renewable resources. The relevant aspects of modern energy conversion are treated and the potentials and limitations are estimated. "
Thermodynamique et ÈnergÈtique II,ME-351,"This lecture aims at studying the mixtures of gases and condensible substances (complements), exergy analysis,  combustion and the generalisation of the cycle theory (engine and compression heat pump cycles, improvements of basic Rankine and Brayton cycles, etc.)"
Thin film fabrication processes,MSE-465,"The students will learn about the essential chemical, thermodynamic and physical mechanisms governing thin film growth, about the most important process techniques and their typical features, including process-microstructure relationships."
Time series,MATH-342,"A first course in statistical time series analysis and applications, including practical work."
Tissue engineering,BIOENG-449,Introduction into theoretical and practical aspects of Tissue Engineering and Regenerative Medicine with particular interest in organ tissue engineering
Topics in number theory,MATH-417,"This year, the course will discuss the analytic theory of L-functions. These objects of analytic nature (the epitome is Riemann's zeta function) encode deep arithmetic properties of number theoretic objects. We will discuss various modern methods to study them either individually or in families."
Topics in theoretical computer science,CS-455,"The students gain an in-depth knowledge of several current and emerging areas of theoretical computer science. The course familiarizes them with advanced techniques, and develop an understanding of fundamental questions that underlie some of the key problems of modern computer science."
Topologie,MATH-225,"We begin by recalling the purely axiomatic framework of topology, in particular products of spaces.  We then study the notions of separability and connectivity, global and local.  Finally we consider constructions of spaces as quotients and the notion of homotopy. "
Topologie algÈbrique,MATH-323,"We study in depth the notion of homology of a topological space, with emphasis on computational methods, even while carefully treating the theoretical foundations."
TopomÈtrie,ENV-242,"The students tackle geometric issues associated with the realisation of a project. They work in the field with topographic instruments. They execute the computations required for survey and stake-out operations, analyse the results and write technical reports."
Total synthesis of natural products,CH-438,"Complex polycyclic natural products are chosen to illustrate the evolution of the state-of-the-art of the field, the interplay between strategy and new reactions as well as the importance of implementing multi-bond forming processes in a synthesis."
TP de bioprocÈdÈs environnementaux,ENV-506,"The purpose of this lab is to enable students to acquire the different laboratory techniques for bioreactors samples and wastewater treatment effluents, as well as the implementation and monitoring of experimental laboratory scale bioprocesses."
TP de conception de systËmes numÈriques,EE-397,"Students will learn how to construct a complex digital embedded system on an FPGA with many peripheral components. The system includes microprocessors, IP blocks, custom hardware components, as well as software. After a guided example, students will develop their own system. "
TP de monitoring environnemental,ENV-168,"The students will acquire the following knowledge and skills: to learn basic measurement principles; to construct and use in environmental applications scientific instruments (pH meter, spectrophotometer, thermocouple); to estimate the measurement uncertainties; to work with microorganisms."
TP en conversion d'Ènergie,EE-396,"This teaching lab provides the experimental experiences associated to courses of the Energy orientation of the BSc in EE. The experiments cover power systems (transmission and distribution), electrical machines and power electronics and elements related to conversion system, including storage."
TP en salle blanche (automne),MICRO-332,"In groups of 4 students and accompanied by an assistant, each student will learn basic procedures and manipulations, as practiced in a clean room. For each group, the TP consists of 3 sessions of 4 hours each."
TP en salle blanche (printemps),MICRO-332,"In groups of 4 students and accompanied by an assistant, each student will learn basic procedures and manipulations, as practiced in a clean room. For each group, the TP consists of 3 sessions of 4 hours each."
TP en technologies de l'information,EE-395,"Get familiar with experimental aspects of the main domains of the orientation ""Information and communication technologies"""
Traitement des signaux,EE-350,"In this course, we introduce the main methods in signal processing."
Traitement quantique de l'information,COM-309,"Information is stored and processed in material systems. With their miniaturization, it becomes necessary to replace the concept of classical bit  by that of quantum bit. This course develops the subject of quantum communications, cryptography and correlations."
Transducteurs et entraÓnements intÈgrÈs,EE-461,The student will be able to design a complete electric drive and choose each of its components. He can refer to concrete applications exemples presented in the course
Transformations de phase,MSE-302,"This course shows how the material composition and the processing conditions influence the microstructures resulting from liquid-solid and solid-solid phase transformations. This course is essentially focused on metallic materials, but will occasionally make extensions to ceramics and polymers."
Transportation systems engineering,CIVIL-351,#NAME?
Transport et tÈlÈmatique,CIVIL-454,"Basics of road telematics. Traffic simulation and modelling.Traffic management and traffic information. Navigation and communication technologies. Development of intelligent transportation systems: connected vehicles and autonomous driving."
Transport phenomena I,ChE-301,#NAME?
Transport phenomena II,ChE-302,This course integrates intermediate fluid mechanics with heat and mass transport phenomena to enable students to analyze problems of interest to a chemical engineer. Students develop abilities to design basic transport modules for engineering application.    
Travail d'approfondissement pour master en chimie,CH-590,
Travail d'approfondissement pour master en chimie,CH-590,
Travail de spÈcialisation pour master en physique,PHYS-597,Students will have a chance to apply their knowledge in a project contributing to specialise them in a physics domain. The project can take place in an external or internal laboratory or in a research institution.  
Travail de spÈcialisation pour master en physique,PHYS-597,Students will have a chance to apply their knowledge in a project contributing to specialise them in a physics domain. The project can take place in an external or internal laboratory or in a research institution.  
Travail et organisations,HUM-220,"What is working together ? Case studies will be presented by the teacher and also by the students who will do a collective fieldwork during the semester. We will adress specifically interactions and organisation of small groups, but that is not a management course."
Travail pratique de laboratoire (30 crÈdits),,
Travail pratique de laboratoire (30 crÈdits),,
Travaux pratiques de physiologie I,BIO-378,"The physiology laboratory introduce the experimental methods in the biomedical field, including experimental set-ups, transducers, signal conditioning, data acquisition and processing.The physiological end results illustrate the contents of the Physiologie par systËmes II course."
Travaux pratiques de physiologie II,BIO-379,"The physiology laboratory introduce the experimental methods in the biomedical field, including experimental set-ups, transducers, signal conditioning, data acquisition and processing.The physiological end results illustrate the contents of the Physiologie par systËmes II course."
Travaux souterrains,CIVIL-404,"To acquire in-depth knowledge of underground space and underground construction technologies, including planning, management, construction methods, risk assessment, and environmental considerations."
Tribology,MSE-485,"This introductory course in tribology (science of friction, lubrication and wear) has specific goals : to present the basic principles of tribology, to develop the attitude to analyse tribological and to illustrate correlations between materials and tribological properties."
Turbomachines thermiques,ME-455,"The student acquires an insight to thermal turbomachinery, the different types of engines in this field (i.e. turbochargers, aeroengines, steam and gas turbines), becomes acquainted with the basic tools for the design and analyses and learns about the directions of future development in the domain."
Turbulence,ME-467,"This course provides an introduction to the physical phenomenon of turbulence, its probabilistic description and modeling approaches including RANS and LES. Students are equipped with the basic knowledge to tackle complex flow problems in science and engineering practice."
Two-phase flows and heat transfer,ME-446,"This course covers the theoretical and practical analysis of two-phase flow and applications. Fundamental two-phase heat transfer in the form of condensation and boiling are studied in detail. Advanced topics such as microchannel two-phase flow, microfinned tubes and oil effects are also handled."
UE B : Critique architecturale,AR-432,To study a few questions related to the contemporary housing through the analysis of recent and representative buildings.
UE C : Architecture et archÈologie,AR-420,"Based both on theoretical issues and on a series of practical examples, the UE provides the instruments to define an architectural project in an archaeological site. Several types of interventions (museographic, restoration, protection of excavations) may also be included in the overall project."
UE D : Territoire et sociÈtÈ,AR-466,The TUD has as objective to familiarise students with the observational methods of social sciences by developing reflexions on the user and his or her relations to public spaces in Swiss towns. Students will develop surveys on the practices and the place of the user in urban space.
UE E : Architecture et structures,AR-438,"Teaching unit offers a reflection on space and shape integrating issues related to the structure. It treats the relation between the project concept and its realization: materials and their characteristics envelop, implementation and their constraints. "
UE F : Architecture et rÈhabilitation,AR-439,"This class aims to raise the students' awareness to the specificities of a renovation project. The Teaching Unit focuses on the relation between renovation demands and a broad architectural vision, with particular emphasis on sustainable development. "
UE gÈnie civil: Construction durable,CIVIL-474,"The conformity of buildings with the principles of the sustainable development requires of the civil engineer multidisciplinary skills. At the end of the course), the students will acquire the theoretical and practical bases to estimate the sustainability of buildings."
UE H : Graphie ,AR-433,"Experiment graphic tools to represent architecture. Exercise the skill of communicating via these tools, through repeated practice of eye/hand/brain connections; a reflection stemming from the theories of representation; and by searching for inventive solutions."
UE I : Analogue-Digital-Virtuel,AR-414,Undelivered text for 2015-16.
UE J : Territoire et paysage,AR-471,"UE J introduces students to large-scale territorial analysis through the investigation of a research hypothesis. A sequence of operations will be proposed: description, reading of spatial principles (rationalities and dynamics) and comparison of different urban conditions."
UE K : Architecture et durabilitÈ : Ètudes de performances,AR-440,"This course articulates itself around a detailed analysis and optimisation of the climate-responsiveness and energy-efficiency of an individual building. It is based on several assessment methods including a range of simulation tools of variable complexity in lighting, heating, ventilation and PV."
UE L : Art and architecture: constructing the view I,AR-415,"Key competences for every architect are the ability to represent ideas coherently and communicate a project's aims effectively. Design, painting, photography, modelling and graphics are essential to the architectural project and become didactic instruments for the development of individual talent."
UE M : Espace et lumiËre: le projet d'Èclairage,AR-441,"This course considers light as a resource that structures a project. The students are asked to understand the basic principles of natural and artificial lighting and develop a lighting strategy, whose performance is verified thanks to appropriate tools. "
UE N : Art et architecture: constructing the view II,AR-416,"Key competence for architects is the ability to represent ideas and communicate a project's aims coherently. Therefore, the UE-N focuses on experimenting with artistic techniques for interpreting reality and transmitting ideas."
UE O : BÈton. MatiËre de construction,AR-447,"In the framework of the concrete orientation, named Concrete Architecture, the UE O presents a sensitive, sensible and multidisciplinary approach of concrete as a building material."
UE P : BÈton. Construction et prÈfabrication,AR-448,"In the framework of the concrete orientation, named Concrete Architecture, the UE P presents a sensitive, sensible and multidisciplinary approach of concrete as a building material."
UE R : Introduction au BIM (Building Information Modeling),AR-435,The text will be provided later.
UE U : Cartography,AR-476,"This teaching unit aims to experiment with the medium of cartography as a means of spatial representation, and as a tool for reading, perceiving and changing the territory."
UE V: Architecture et bois,AR-480,
UE W: Reading construction,AR-482,"Students will isolate and analyse the technical characteristics of buildings conceived and constructed in different contexts. Through such analysis, students will learn how to identify, rationalise, represent and intervene on the possible forms of ‚øøvalue‚øø generated by specific building experienc"
Uncertainty quantification for engineering & life sciences,ETH-440,
Understanding modern Switzerland I,HUM-422(a),"This course provides a general introduction to Swiss history, its culture, its economy and its political system since 1848 until today."
Understanding modern Switzerland II,HUM-422(b),"Based on the knowledge acquired during the fall semester course (Understanding modern Switzerland I), students are asked to work by group of 3-4 students and prepare a paper on a topic previously discussed with the teachers."
Understanding statistics and experimental design,BIO-449,This course is neither an introduction to the mathematics of statistics nor an introduction to a statistics program such as R. The aim of the course is to understand statistics from its experimental design and to avoid common pitfalls of statistical reasoning. There is space to discuss ongoing work.
Unsupervised and reinforcement learning in neural networks,CS-434,"Learning is observable in  animal and human behavior, but learning is also a topic of computer science. This course links algorithms from machine learning with biological phenomena of synaptic plasticity. The course covers unsupervised and reinforcement learning, but not supervised learning."
Urban hydraulic systems,CIVIL-413,"The basic features of fresh water and sewer nets are considered. For fresh water, the capture, the reservoir and the distribution net are discussed. For sewers, conduit and manhole hydraulics is in the focus. Besides, the legal background is provided and methods to derive the relevant discharges."
Urbanisme en Asie,AR-456,"The center of gravity of the urbanization of the world moves towards the Asian continent. Are the concepts, the methods and the models appropriate to the European cities still relevant?  Which are the singularities of Japanese, Chinese or Indian planning's cultures?"
Urbanisme et territoires,AR-455,"Urban and regional planning is at the articulation of spatial policies's  impacts. Several scales, many actors and multiple domains do have importance. The concepts, methods and models of engineering, architecture and humanities are required."
Venture capital,FIN-522,The course applies finance tools and concepts to the world of venture capital and financing of projects in high-growth industries. Students are introduced to all institutional aspects of the venture capital industry. Students analyze various aspects of VC finance using an investors' perspective.
Ville africaine: introduction ‡ la planification,AR-462,"The course suggests an introduction to urban planning of African cities. After a short overview of the big urban issues (climate change, energy, right to the city, land, habitat‚øä), we will tackle the tools currently used in planning and will have a critical reading."
